Timestamp,NH3_raw,NH3_V,CH4_raw,CH4_V,H2S_raw,H2S_V,Temp_C,Pressure_Pa,Humidity_pct,GasRes,Label
23:04:24,1779,0.334,12083,2.266,6162,1.155,28.24,100879.00,77.08,63700.00,Warmup
23:04:55,1784,0.335,12114,2.271,6131,1.150,28.13,100877.00,77.41,64000.00,Warmup
23:05:25,1778,0.333,12112,2.271,6150,1.153,28.03,100877.00,77.83,63400.00,Warmup
23:05:56,1778,0.333,12158,2.280,6173,1.157,27.93,100877.00,78.06,63200.00,Warmup
23:06:26,1747,0.328,11962,2.243,6042,1.133,27.85,100877.00,78.44,62700.00,Warmup
23:06:57,1770,0.332,12135,2.275,6145,1.152,27.76,100877.00,78.76,62500.00,Warmup
23:07:27,1770,0.332,12163,2.281,6135,1.150,27.69,100879.00,79.04,62300.00,Warmup
23:07:58,1763,0.331,12170,2.282,6139,1.151,27.62,100881.00,79.31,62500.00,Warmup
23:08:28,1747,0.328,12098,2.268,6100,1.144,27.54,100879.00,79.12,62900.00,Warmup
23:08:59,1739,0.326,12155,2.279,6087,1.141,27.46,100879.00,79.17,63500.00,Warmup
23:09:29,1732,0.325,12183,2.284,6096,1.143,27.40,100877.00,79.48,63000.00,Warmup
23:10:00,1725,0.323,12149,2.278,6067,1.138,27.34,100879.00,79.77,62900.00,Warmup
23:10:30,1728,0.324,12181,2.284,6089,1.142,27.27,100879.00,79.90,63000.00,Warmup
23:11:01,1729,0.324,12214,2.290,6088,1.141,27.21,100879.00,80.30,62500.00,Warmup
23:11:31,1716,0.322,12140,2.276,6024,1.130,27.17,100879.00,80.62,62300.00,Warmup
23:12:01,1728,0.324,12221,2.291,6069,1.138,27.12,100883.00,80.93,62000.00,Warmup
23:12:32,1715,0.322,12176,2.283,6045,1.133,27.06,100879.00,81.11,61600.00,Warmup
23:13:02,1714,0.321,12186,2.285,6024,1.130,27.02,100881.00,81.36,61600.00,Warmup
23:13:33,1722,0.323,12221,2.291,6048,1.134,26.98,100883.00,81.58,61300.00,Warmup
23:14:03,1710,0.321,12188,2.285,6019,1.129,26.93,100881.00,81.78,61200.00,Warmup
